population_size,generations,mutation_rate,crossover_rate,elitism_rate,tournament_size,avg_fitness,std_fitness,min_fitness,avg_vehicles,avg_distance,avg_time
100,300,0.15,0.8,0.1,5,855773.9189352137,17225.554940781036,831659.8365121117,4.0,154.246303948237,2.7974775632222495
100,300,0.15,0.85,0.1,5,873061.1650494548,19612.309617454754,857474.578352611,3.0,157.36218976756996,1.8071165084838867
100,300,0.25,0.8,0.1,5,867245.1471753797,38428.99898952336,814150.0835530959,3.0,156.31389974502616,1.3977328141530354
100,300,0.25,0.85,0.1,5,860808.1652983865,25101.439505535564,831069.4335826181,3.3333333333333335,155.153686000322,1.9247461160024006
150,300,0.15,0.8,0.1,5,848550.72769131,20252.918414271935,824264.6525122841,3.0,152.94438234554352,2.0307451089223227
150,300,0.15,0.85,0.1,5,865163.911351489,16620.635026264732,851908.0994227218,3.0,155.93877387781205,2.344377279281616
150,300,0.25,0.8,0.1,5,807105.7818001177,24717.73437051724,772257.5866751226,3.0,145.47426719059092,2.8864096800486245
150,300,0.25,0.85,0.1,5,812959.2876848091,6714.222868061974,803533.6060665364,3.0,146.52931412281845,2.5547405083974204
