VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V1,D1,126,D1 -> C20 -> C23 -> C13 -> C22 -> C15 -> C4 -> C17 -> D1,7,15.0-15.0-21.0-18.0-17.0-15.0-25.0,38.25,76.5,212227.01
V2,D1,126,D1 -> C12 -> C21 -> C7 -> C19 -> C2 -> C6 -> C5 -> C8 -> D1,8,12.0-14.0-17.0-11.0-15.0-17.0-20.0-20.0,49.07,98.1,272221.44
V3,D1,125,D1 -> C14 -> C3 -> C1 -> C10 -> C16 -> C24 -> C11 -> C9 -> C18 -> D1,9,15.0-12.0-13.0-15.0-10.0-11.0-17.0-20.0-12.0,54.25,108.5,301004.08
