VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V1,D1,86,D1 -> C4 -> C11 -> D1,2,43-43,85.04,143.5,44655.83
V2,D1,144,D1 -> C3 -> C18 -> C15 -> C5 -> D1,4,33-49-48-14,89.34,189.6,46914.15
V3,D1,87,D1 -> C13 -> C19 -> C16 -> D1,3,49-13-25,114.28,219.9,60006.09
V4,D1,89,D1 -> C9 -> C20 -> C22 -> D1,3,35-32-22,64.07,113.1,33644.73
V5,D1,75,D1 -> C2 -> C24 -> C6 -> D1,3,36-14-25,128.2,225.5,67320.4
V6,N/A,0,Not Used,0,None,0.0,0.0,0.0
V7,D1,108,D1 -> C7 -> C21 -> C23 -> C12 -> D1,4,32-20-46-10,141.28,223.4,74187.56
V8,D1,96,D1 -> C14 -> C8 -> C10 -> C1 -> C17 -> D1,5,23-23-14-22-14,74.35,143.9,39038.91
